dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,avg_temp,avg_hum,avg_windspeed
2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,0.3441666666666667,0.8058333333333333,0.1604458333333333
2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,0.3634782608695652,0.696086956521739,0.2485391304347826
2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,0.1963636363636363,0.4372727272727272,0.2483090909090909
2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,0.1999999999999999,0.5904347826086956,0.160295652173913
2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,0.2269565217391304,0.4369565217391304,0.1869
2011-01-06,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,0.2043478260869565,0.5182608695652174,0.0895652173913043
2011-01-07,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148,1362,1510,0.1965217391304348,0.498695652173913,0.1687260869565217
2011-01-08,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,68,891,959,0.165,0.5358333333333333,0.2668041666666667
2011-01-09,1,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,54,768,822,0.1383333333333333,0.4341666666666666,0.36195
2011-01-10,1,0,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,41,1280,1321,0.1508333333333333,0.4829166666666666,0.2232666666666667
2011-01-11,1,0,1,0,2,1,2,0.169091,0.191464,0.686364,0.122132,43,1220,1263,0.1690909090909091,0.6863636363636364,0.1221318181818181
2011-01-12,1,0,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,25,1137,1162,0.1727272727272727,0.5995454545454545,0.3046272727272727
2011-01-13,1,0,1,0,4,1,1,0.165,0.150883,0.470417,0.301,38,1368,1406,0.165,0.4704166666666666,0.301
2011-01-14,1,0,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,54,1367,1421,0.1608695652173913,0.5378260869565217,0.1265478260869565
2011-01-15,1,0,1,0,6,0,2,0.233333,0.248112,0.49875,0.157963,222,1026,1248,0.2333333333333333,0.49875,0.1579625
2011-01-16,1,0,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,251,953,1204,0.2316666666666667,0.4837499999999999,0.1884333333333333
2011-01-17,1,0,1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,117,883,1000,0.1758333333333333,0.5375,0.1940166666666666
2011-01-18,1,0,1,0,2,1,2,0.216667,0.232333,0.861667,0.146775,9,674,683,0.2166666666666666,0.8616666666666667,0.146775
2011-01-19,1,0,1,0,3,1,2,0.292174,0.298422,0.741739,0.208317,78,1572,1650,0.2921739130434782,0.7417391304347826,0.2083173913043478
2011-01-20,1,0,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904,83,1844,1927,0.2616666666666666,0.5383333333333333,0.1959041666666666
2011-01-21,1,0,1,0,5,1,1,0.1775,0.157833,0.457083,0.353242,75,1468,1543,0.1775,0.4570833333333333,0.3532416666666667
2011-01-22,1,0,1,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,93,888,981,0.0591304347826087,0.3999999999999999,0.1719695652173913
2011-01-23,1,0,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,150,836,986,0.0965217391304348,0.4365217391304347,0.2466
2011-01-24,1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,86,1330,1416,0.0973913043478261,0.4917391304347826,0.1583304347826087
2011-01-25,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186,1799,1985,0.2234782608695652,0.6169565217391304,0.129795652173913
2011-01-26,1,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,34,472,506,0.2175,0.8625,0.29385
2011-01-27,1,0,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,15,416,431,0.195,0.6875,0.1138375
2011-01-28,1,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,38,1129,1167,0.2034782608695652,0.7930434782608696,0.1233
2011-01-29,1,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,123,975,1098,0.1965217391304347,0.6517391304347826,0.1453652173913043
2011-01-30,1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,140,956,1096,0.2165217391304348,0.7221739130434782,0.0739826086956521
2011-01-31,1,0,1,0,1,1,2,0.180833,0.18625,0.60375,0.187192,42,1459,1501,0.1808333333333333,0.60375,0.1871916666666666
2011-02-01,1,0,2,0,2,1,2,0.192174,0.23453,0.829565,0.053213,47,1313,1360,0.1921739130434782,0.8295652173913044,0.0532130434782608
2011-02-02,1,0,2,0,3,1,2,0.26,0.254417,0.775417,0.264308,72,1454,1526,0.26,0.7754166666666666,0.2643083333333333
2011-02-03,1,0,2,0,4,1,1,0.186957,0.177878,0.437826,0.277752,61,1489,1550,0.1869565217391304,0.4378260869565217,0.2777521739130434
2011-02-04,1,0,2,0,5,1,2,0.211304,0.228587,0.585217,0.127839,88,1620,1708,0.2113043478260869,0.5852173913043479,0.1278391304347826
2011-02-05,1,0,2,0,6,0,2,0.233333,0.243058,0.929167,0.161079,100,905,1005,0.2333333333333333,0.9291666666666668,0.1610791666666666
2011-02-06,1,0,2,0,0,0,1,0.285833,0.291671,0.568333,0.1418,354,1269,1623,0.2858333333333333,0.5683333333333334,0.1418
2011-02-07,1,0,2,0,1,1,1,0.271667,0.303658,0.738333,0.0454083,120,1592,1712,0.2716666666666666,0.7383333333333333,0.0454083333333333
2011-02-08,1,0,2,0,2,1,1,0.220833,0.198246,0.537917,0.36195,64,1466,1530,0.2208333333333333,0.5379166666666667,0.36195
2011-02-09,1,0,2,0,3,1,2,0.134783,0.144283,0.494783,0.188839,53,1552,1605,0.1347826086956521,0.4947826086956522,0.1888391304347826
